Cód. Barras,Categoría,MARCA,PRODUCTO,PRESENTACIÓN,LISTA DE PRECIOS,Unnamed: 9
7799075000345.0,Anti-edad,AVENE,AVE-DERMABSOLU BALSAMO NOCHE ,40 ml,AVE-DERMABSOLU BALSAMO NOCHE , 
7799075000338.0,Anti-edad,AVENE,AVE-DERMABSOLU CREMA COLOR,40 ml,AVE-DERMABSOLU CREMA COLOR, 
7798095415238.0,Solar > cuerpo,AVENE,AVE SOLAR - SPRAY SFP 50+ ,200ml,AVE SOLAR - SPRAY SFP 50+ , 
7799075000062.0,Solar > rostro,AVENE,AVE SOLAR - CREMA SPF 50+ COLOR ,50 ml,AVE SOLAR - CREMA SPF 50+ COLOR , 
7798095415290.0,Solar > cuerpo,AVENE,AVE SOLAR - LECHE SPF 50+,100ml.,AVE SOLAR - LECHE SPF 50+, 
7798095415313.0,Solar > autobronceante y post solar,AVENE,AVE SOLAR - AUTOBRONCEANTE BRILLO NATURAL,100ml.,AVE SOLAR - AUTOBRONCEANTE BRILLO NATURAL, 
7798095415320.0,Solar > rostro,AVENE,AVE SOLAR - STICK SPF 50+ ZONAS SENSIBLES ,8gr,AVE SOLAR - STICK SPF 50+ ZONAS SENSIBLES , 
7798095415337.0,Solar > bebés y niños,AVENE,AVE SOLAR - SPRAY ESPECIAL NIÑOS SPF 50+ ,200ml,AVE SOLAR - SPRAY ESPECIAL NIÑOS SPF 50+ , 
7798095418970.0,Solar > bebés y niños,AVENE,AVE SOLAR - LECHE NIÑOS SPF 50+ ,250ml,AVE SOLAR - LECHE NIÑOS SPF 50+ , 
7799075001397.0,Solar > rostro,AVENE,AVE SOLAR - STICK SPF 50+  NUEVO,3gr,AVE SOLAR - STICK SPF 50+  NUEVO, 
7798095415788.0,Solar > rostro,AVENE,AVE SOLAR - CREMA SPF 50+ SIN COLOR,50 ml,AVE SOLAR - CREMA SPF 50+ SIN COLOR, 
7799075000024.0,Solar > rostro,AVENE,AVE SOLAR - FLUIDO COLOR MAT PERFECT TOQUE SECO SPF 50+ ,50  ml,AVE SOLAR - FLUIDO COLOR MAT PERFECT TOQUE SECO SPF 50+ , 
7799075000017.0,Solar > rostro,AVENE,AVE SOLAR - FLUIDO ULTRA-MAT TOQUE SECO SPF 50+ ,50 ml,AVE SOLAR - FLUIDO ULTRA-MAT TOQUE SECO SPF 50+ , 
7799075000055.0,Solar > cuerpo,AVENE,AVE SOLAR - BRUMA SATINADA SPF 30 ,150 ml,, 
7799075000048.0,Solar > rostro,AVENE,AVE SOLAR - CLEANANCE MUY ALTA PROT SPF 50+ ,50 ml,AVE SOLAR - CLEANANCE MUY ALTA PROT SPF 50+ , 
7798095419984.0,Solar > rostro,AVENE,AVE SOLAR - AQUA FLUIDO ULTRA MAT TOQUE SECO SPF30 ,50 ml,AVE SOLAR - AQUA FLUIDO ULTRA MAT TOQUE SECO SPF30 , 
7799075000819.0,Solar > cuerpo,AVENE,AVE SOLAR - FLUIDO SPORT SPF 50+ ,100 ml,AVE SOLAR - FLUIDO SPORT SPF 50+ , 
7798095418987.0,Solar > rostro,AVENE,AVE SOLAR - CREME SPF 50+  ANTI AGE ,50ml,AVE SOLAR - CREME SPF 50+  ANTI AGE , 
7798095419991.0,Solar > rostro,AVENE,AVE SOLAR - AQUA FLUIDO COLOR MAT PERFECT TOQUE SECO SPF30,50 ml,AVE SOLAR - AQUA FLUIDO COLOR MAT PERFECT TOQUE SECO SPF30, 
7799075001625.0,Solar > rostro,AVENE,AVE SOLAR - B PROTECT SPF 50 +  NUEVO,30 ml,AVE SOLAR - B PROTECT SPF 50 +  , 
7799075001632.0,Solar > rostro,AVENE,AVE SOLAR - CLEANANCE COLOR MUY ALTA PROT SPF 50+  NUEVO,50 ml,AVE SOLAR - CLEANANCE COLOR MUY ALTA PROT SPF 50+  , 
7798095415207.0,Solar > rostro,AVENE,AVE SOLAR - COMPACTO COLOR ARENA ,10gr,AVE SOLAR - COMPACTO COLOR ARENA , 
7798095415214.0,Solar > rostro,AVENE,AVE SOLAR - COMPACTO COLOR DORADO ,10gr,AVE SOLAR - COMPACTO COLOR DORADO , 
7798095415344.0,Solar > rostro,AVENE,AVE SOLAR - CREMA MINERAL SPF 50+,50ml.,AVE SOLAR - CREMA MINERAL SPF 50+, 
7798095415795.0,Solar > cuerpo,AVENE,AVE SOLAR - LECHE MINERAL SPF 50+ ,100ml,AVE SOLAR - LECHE MINERAL SPF 50+ , 
7798095415306.0,Solar > autobronceante y post solar,AVENE,AVE SOLAR - REPARADOR POST SOLAR,200ml,AVE SOLAR - REPARADOR POST SOLAR, 
7798095415764.0,Solar > autobronceante y post solar,AVENE,AVE SOLAR - REPARADOR POST SOLAR ,400ml,AVE SOLAR - REPARADOR POST SOLAR , 
,KLORANE,,,,, 
7799075001861.0,Pelo > shampoo y acondicionadores > anticaída,KLORANE,KLO-SHAMPOO QUININA - NAT,200 ml.,KLO-SHAMPOO QUININA - NAT, 
7799075001601.0,Pelo > shampoo y acondicionadores > anticaída,KLORANE,KLO-ACONDICIONADOR QUININA - NAT,200ml,KLO-ACONDICIONADOR QUININA - NAT, 
7799075001878.0,Pelo > bálsamos y tratamiento > anticaída,KLORANE,KLO-SERUM ANTICAIDA QUININA,100 ml,KLO-SERUM ANTICAIDA QUININA, 
7799075001540.0,Pelo > shampoo y acondicionadores ,KLORANE,KLO-SHAMPOO  MANGO - NAT,200 ml,KLO-SHAMPOO  MANGO - NAT, 
7799075001557.0,Pelo > bálsamos y tratamiento ,KLORANE,KLO-MASCARA MANGO - NAT,150 ml,KLO-MASCARA MANGO - NAT, 
7799075001670.0,Pelo > bálsamos y tratamiento ,KLORANE,KLO-ACEITE MANGO - NAT,100 ml,KLO-ACEITE MANGO - NAT, 
7799075001304.0,Pelo > shampoo y acondicionadores ,KLORANE,KLO-SHAMPOO CUPUACU BIO - NAT,400 ml.,KLO-SHAMPOO CUPUACU BIO - NAT, 
7799075001274.0,Pelo > shampoo y acondicionadores ,KLORANE,KLO-SHAMPOO CUPUACU BIO - NAT,200 ml,KLO-SHAMPOO CUPUACU BIO - NAT, 
7799075001281.0,Pelo > shampoo y acondicionadores ,KLORANE,KLO-BALSAMO CUPUACU BIO - NAT,200 ml,KLO-BALSAMO CUPUACU BIO - NAT, 
7799075001298.0,Pelo > bálsamos y tratamiento ,KLORANE,KLO-MASCARILLA CUPUACU BIO 3 EN 1 - NAT,150 ml,KLO-MASCARILLA CUPUACU BIO 3 EN 1 - NAT, 
7799075001564.0,Pelo > shampoo y acondicionadores > Seborrea,KLORANE,KLO-SHAMPOO ORTIE BLANCHE - NAT ,200 ml.,KLO-SHAMPOO ORTIE BLANCHE - NAT , 
7798095419816.0,Pelo > shampoo y acondicionadores> fortalecedor,KLORANE,KLO-SHAMPOO OLIVO,200 ml.,KLO-SHAMPOO OLIVO, 
7798095419823.0,Pelo > shampoo y acondicionadores> fortalecedor,KLORANE,KLO-BALSAMO OLIVO,200 ml.,KLO-BALSAMO OLIVO, 
7798095415504.0,Pelo > shampoo y acondicionadores ,KLORANE,KLO-SHAMPOO SECO DE AVENA,150 ml,KLO-SHAMPOO SECO DE AVENA, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
,,,,,, 
