codigo,ean,stock,precio,promo,descripcion
20,3600524026684,2,22305.0,No Promo,LOREAL INFALLIBLE GEL AUTO LINER ELECTRIC BL E 260
20,3600530730308,2,20631.0,No Promo,MAYBELLINE HYPER PRECISSE ALL DAY eyeliner700(BLACK)
20,3600531531133,2,17813.0,No Promo,MAYBELLINE TATTO LINER PENCIL  921 DEEP TEAL
20,3607345379036,2,32742.0,No Promo,RIMMEL LASTING FINISH END x30ml 100 (IVORY)
20,3607345379050,2,32742.0,50%,rimmel Lastng finish 25h foundation 200
20,3614220077611,2,18766.0,No Promo,RIMMEL OH MY GLOSS LOVE BUG  LABIAL 100
20,3614220077673,2,18766.0,No Promo,RIMMEL OH MY GLOSS STAY MY ROSE LABIAL 160
20,3614220077796,2,18766.0,No Promo,RIMMEL OH MY GLOSS CLEAR LABIAL 800
20,3614226493651,2,27250.0,No Promo,RIMMEL LASTING RADIANCE FDT ANTIPOLLUTION env.x30ml100(IVORY)
20,3614226493675,2,27250.0,No Promo,RIMMEL LASTING RADIANCE FDT ANTIPOLLUTION env.x30ml200(SOFTBEIGE)
20,3616300776223,2,20549.000000000004,No Promo,RIMMEL OH MY GLOSS PLUMP 211
20,3616300776230,2,20549.000000000004,No Promo,RIMMEL OH MY GLOSS PLUMP  759
20,3616301236078,2,32742.0,50%,rimmel lasting finish 25h 500
20,3616303011246,2,28409.0,No Promo,RIMMEL LASTING COMPACT 05
20,3616303415471,2,7050.0,No Promo,SALLY HANSEN ESMALTE INSTA DRI LATER ALLIGAT R 529
20,3616305499844,2,19504.000000000004,No Promo,RIMMEL STAY GLOSSY LIP OIL BRILLO LABIAL 001
20,3616305499875,2,19504.000000000004,No Promo,RIMMEL STAY GLOSS LIP OIL BRILLO LABIAL 004
20,4001638088039,2,33000.0,No Promo,WELEDA ACEITES CORPORALES Abedul p/celul.ac. 100ml
20,4001638088183,2,28000.0,No Promo,"WELEDA CALENDULA (BEBES,N,PIEL SENS.) leche orp.x 200 ml"
20,4001638095112,2,30000.0,No Promo,WELEDA ACEITES CORPORALES Aceite p/embarazo 100ml
20,4001638096515,2,18000.0,No Promo,WELEDA GEL CREMOSO DE DUCHA Calndula x 200 m
20,4001638096539,2,28000.0,No Promo,"WELEDA CALENDULA (BEBES,N,PIEL SENS.) leche orp.x 200 ml"
20,4001638099202,2,28000.0,No Promo,WELEDA ACEITES CORPORALES Arnica aceite x 50 ml
20,4001638099226,2,30000.0,No Promo,WELEDA ACEITES CORPORALES Arnica aceite x 10 ml
20,4001638099295,2,30000.0,No Promo,WELEDA ACEITES CORPORALES Calndula aceite x 00ml
20,4001638099394,2,32000.0,No Promo,WELEDA ACEITES CORPORALES Rosa mosqueta ac.x 100ml
20,4001638526708,2,33000.0,No Promo,WELEDA SKIN FOOD BODY BUTTER x150ml
20,4001638529426,2,29000.0,No Promo,WELEDA LECHES CORPORALES Skin Food x 200 ml
20,4005800024023,2,96033.0,No Promo,EUCERIN HYALURON FILLER NOCHE cr.x50ml
20,4005800024139,2,47937.0,No Promo,EUCERIN UREA 10% INTENSIVA COMPLETE REPAIR l c.x250ml
20,4005800036842,2,28210.0,No Promo,EUCERIN DERMOCAPILLARE SH x250ml (CASPA GRAS )
20,4005800057670,2,89717.0,No Promo,EUCERIN HYALURON FILLER OJOS cr.x15ml
20,4005800109249,2,74199.0,No Promo,EUCERIN ANTIENROJECIMIENTO PS FPS25 cr.x50ml
20,4005800128608,2,58452.0,No Promo,EUCERIN AQUAPHORIN ACTIVE HIDRAT.PNM cr.x50g
20,4005800131189,2,58452.0,No Promo,EUCERIN AQUAPHORIN ACTIVE HIDRAT.PNM cr.x50g
20,4005800150135,2,53082.0,No Promo,EUCERIN DERMATOCLEAN LIMPIADORA 3EN1 loc.x40 ml
20,4005800180514,2,31719.0,No Promo,EUCERIN DERMOPURE OIL AGUA MICELAR env.x200m
20,4005800193279,2,91401.00000000001,No Promo,EUCERIN HYALURON FILLER +VOL.LIFT DIA PS cr. 50ml
20,4005800223136,2,41779.0,No Promo,EUCERIN AQUAPHORIN ACTIVE UNGUENTO REPARADOR unguento x50g
20,4005800270468,2,53082.0,No Promo,EUCERIN DERMATOCLEAN LIMPIADORA 3EN1 loc.x40 ml
20,4005800287855,2,49869.0,No Promo,EUCERIN UREA REPAIR PLUS PIES LOCION  X 150M
20,4005800327568,2,89717.0,No Promo,EUCERIN VOLUME FILLER ANTI EDAD FPS15 OJOS 1 ML
20,4005800630955,2,25417.0,No Promo,EUCERIN INTIMATE HYGIENE WASH PROTECTION flu do x250ml
20,4005800630958,2,25417.0,No Promo,EUCERIN INTIMATE HYGIENE WASH PROTECTION flu do x250ml
20,4005808321216,2,6459.0,No Promo,NIVEA SOFT BODY MILK 5EN1 PIEL SECA CREMA CO PORAL 250ML
20,4005808515592,2,7199.0,No Promo,NIVEA SOFT cr.x200gr (en pote)
20,4005808547760,2,11784.0,No Promo,NIVEA VISAGE HIDRATANTE ACTIVA DIA cr.x50ml PNM)
20,4005808583348,2,40422.0,No Promo,EUCERIN DERMATOCLEAN PIEL SENSIBLE GEL DE LI PIEZA 200ML
20,4005900399953,2,10083.0,40%,NIVEA BODY LOC.COPORAL CEREZA loc.x400ml
20,4005900436979,2,60165.0,No Promo,EUCERIN DERMOPURE OIL FAC.ACCION INT.NOCHE c .x40g
20,4005900436986,2,42847.0,No Promo,EUCERIN DERMOPURE OIL GEL LIMPIEZA gel x200m
20,4005900436993,2,45291.0,No Promo,EUCERIN DERMOPURE OIL EXFOLIANTE cr.x100g
20,4005900490445,2,91401.00000000001,No Promo,EUCERIN HYALURON FILLER +VOL.LIFT DIA PS cr. 50ml
20,4005900490483,2,96033.0,No Promo,EUCERIN HYALURON - FILLER + VOL - LIFT NOCHE CREMA 50GR
20,4005900490490,2,89717.0,No Promo,EUCERIN VOLUME FILLER ANTI EDAD FPS15 OJOS 1 ML
20,4005900517005,2,2348.0000000000005,25%,NIVEA FRESH ICE MEN DESO.ROLL-ON x150ml
20,4005900559500,2,92032.0,No Promo,EUCERIN ANTIPIGMENTO DIA FPS30 cr.x50ml
20,4005900650412,2,93795.0,No Promo,EUCERIN HYALURON FILLER ANTIEDAD +ELAST.OJOS env.x15ml
20,4005900667014,2,13962.0,No Promo,EUCERIN HYALURON FILLER MASCARILLA INTENSIVA
20,4005900728807,2,105111.0,No Promo,eucerin Hyalluron filler+Elasticity FP30
20,4005900773821,2,13641.0,60%,NIVEA ROSE AGUA MICELAR BIFAS LOC x  400ML
20,4005900773845,2,10936.0,50%,NIVEA ROSE LECHE Y TONICO MICELAR LOC X 200M
